Region,Year,Crop,Area_Harvested (ha),Yield_per_ha (tons),Total_Production (tons),Avg_Rainfall_mm,Avg_Temperature_C,Soil_pH,Fertilizer_Used_kg,Pest_Incidents
West,2022,Soybean,230.17,2.24,515.58,383.2,24.2,6.37,169.4,4
North,2020,Rice,553.51,1.96,1084.88,188.1,18.1,6.47,181.9,12
South,2022,Rice,240.17,1.79,429.9,121.5,18.6,6.47,117.2,12
North,2021,Rice,215.27,5.77,1242.11,150.9,15.9,6.06,65.4,0
South,2021,Barley,110.95,4.01,444.91,128.6,15.3,5.73,56.3,1
West,2023,Soybean,667.21,4.19,2795.61,153.6,24.8,6.02,59.4,17
West,2023,Barley,423.12,5.77,2441.4,225,23.2,7.19,115.9,3
South,2023,Rice,194.67,2.15,418.54,321.4,20.5,6.59,85.2,13
East,2022,Soybean,390.55,1.03,402.27,181.7,34.8,7.2,119.3,4
South,2023,Corn,252.05,3.99,1005.68,230.8,23,6.99,123.3,15
East,2021,Wheat,947.53,3.54,3354.26,378.6,30.8,6.2,118.7,19
North,2023,Wheat,388,3.39,1315.32,188.7,19.2,5.87,143,2
North,2020,Rice,400.56,1.31,524.73,338.4,19.9,6.63,151.9,19
North,2023,Barley,855.87,3.27,2798.69,147.3,26.4,7.37,109.4,13
West,2022,Corn,682.98,2.44,1666.47,153.5,15.1,7.18,100.6,4
North,2020,Soybean,739.15,2.37,1751.79,236.8,15.3,7.03,105.3,11
East,2020,Barley,672.4,2.11,1418.76,170.2,17.8,7.03,60.5,12
North,2020,Rice,951.58,2.66,2531.2,370.9,19.5,6.56,98.2,15
South,2022,Barley,286.3,2.77,793.05,115.2,25.6,5.84,80,15
South,2021,Rice,990.14,2.54,2514.96,279.2,28.7,6.07,93.6,18
West,2023,Wheat,847.86,5.89,4993.9,281.3,21.2,6.66,157.2,3
South,2020,Wheat,630.08,5.66,3566.25,119.8,19.8,6.13,198.3,12
East,2020,Barley,696.13,3.87,2694.02,319.8,31.5,7.06,188.5,17
North,2020,Corn,683.94,5.91,4042.09,240.7,18.3,6.25,173.2,12
West,2021,Soybean,152.56,5.96,909.26,316.9,28.6,5.73,160.6,11
North,2021,Rice,296.21,2.78,823.46,348.1,33.6,7.07,191.7,18
North,2022,Soybean,965.32,3.23,3117.98,196.9,19.6,6.9,162.8,16
East,2021,Wheat,580.93,5.8,3369.39,245.3,16.7,6.01,120.6,9
South,2023,Corn,440.52,4.04,1779.7,178.2,34.6,7.46,140.2,6
South,2022,Corn,785.83,2.06,1618.81,160.5,20.4,6.31,95.9,13
North,2022,Soybean,572.07,4.45,2545.71,100.2,20.5,6.86,50.5,6
West,2023,Wheat,111.85,2.03,227.06,389.1,24.7,7.32,103,0
South,2023,Soybean,762.61,2.7,2059.05,232.3,19.6,5.81,110.7,13
West,2023,Barley,759,2.14,1624.26,103.9,34.9,7.26,160,2
South,2022,Corn,248.63,2.22,551.96,102.7,15.9,6.91,178.9,8
West,2022,Corn,960.99,1.02,980.21,186.5,24,5.84,194.4,10
East,2022,Barley,301.52,5.4,1628.21,104.2,26,6.83,102.8,14
West,2023,Wheat,511.97,2.48,1269.69,212.4,24.3,7.25,193.6,4
East,2023,Corn,203.26,1.43,290.66,118.9,25.4,7.1,169.9,18
East,2020,Rice,642.95,1.43,919.42,111.8,34.8,7.02,54.6,3
West,2021,Rice,437.91,3.78,1655.3,300.8,32.5,5.82,139.3,19
East,2020,Wheat,417.86,5.96,2490.45,372.1,21.2,5.88,104.8,12
North,2023,Barley,844.28,1.73,1460.6,222.8,26,6.6,55.1,5
East,2022,Soybean,108.61,1.5,162.92,351,15,6.66,129.7,6
South,2023,Wheat,818.15,3.19,2609.9,108.8,23.2,7.39,137.7,15
West,2021,Soybean,614.3,3.82,2346.63,333.3,18.3,6.44,87.8,7
North,2020,Wheat,987.49,2.47,2439.1,118.8,29.2,6.11,191,8
West,2020,Rice,630.5,2.51,1582.55,351.5,19.4,5.88,141.6,8
South,2022,Barley,149.84,3.12,467.5,364.7,30,5.61,76.4,18
South,2020,Rice,145.58,2.57,374.14,335.8,21.3,5.64,158.2,18
South,2020,Barley,894.84,5.58,4993.21,346.2,33.5,6.65,124.9,10
East,2023,Soybean,857.09,1.21,1037.08,268.4,23.9,5.85,121,15
East,2020,Wheat,411.3,2.17,892.52,179.5,31.8,7.2,175.2,8
West,2020,Corn,656.23,5.04,3307.4,293,27.6,6.69,70.7,14
West,2020,Corn,540.63,5.17,2795.06,231.9,34.5,7.23,123.6,10
North,2022,Barley,970.45,1.56,1513.9,101.6,29.9,6.35,167.1,7
North,2022,Barley,954.96,5.87,5605.62,243,29.6,6.69,149.1,2
West,2023,Rice,985.46,4.47,4405.01,295.4,20.3,6.55,50.8,13
East,2020,Corn,879.8,2.36,2076.33,104.2,25.1,7.47,168.1,5
South,2022,Rice,918.6,3.28,3013.01,286.4,20.8,7.09,191.7,4
West,2022,Soybean,295.55,2.49,735.92,295.8,15.4,6.69,155.7,10
North,2023,Corn,847.91,1.75,1483.84,147.4,29.2,6.71,181.4,9
East,2021,Soybean,737.97,2.46,1815.41,229.3,19.7,6,104.1,19
West,2020,Wheat,966.51,3.9,3769.39,389.3,22.9,6.97,102.6,10
West,2022,Rice,614.14,5.13,3150.54,365.3,20.7,7.47,98.1,5
East,2023,Barley,176.65,2.82,498.15,223.2,19,5.76,160.2,7
West,2023,Corn,637.66,2.74,1747.19,205,16.3,6.77,191.3,13
East,2023,Rice,717.92,3.34,2397.85,137.2,21.8,6.54,182.8,12
South,2022,Barley,298.29,4.22,1258.78,110.6,16.6,7.2,72.5,2
East,2020,Wheat,454.7,4.76,2164.37,189.2,25.8,5.5,143.9,5
East,2021,Corn,638.65,2.63,1679.65,382.1,15.4,5.77,199.4,16
East,2020,Soybean,436.7,3.93,1716.23,387.6,33.8,5.57,94.3,0
West,2023,Wheat,437.45,2.95,1290.48,343.8,34.3,5.83,145.2,10
West,2023,Barley,219.78,4.58,1006.59,205.2,21.1,6.92,186,0
East,2021,Corn,946.67,1.82,1722.94,143.1,20.2,5.78,184.9,13
